"","file_name","site","quadrant","date","recording_time","recording_hour","time_index","AQHI communities","distWeatherStation","AQHI values"
"80","1239-NW_20230521_055500.wav","1239","NW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",46576.2331727177,"10+"
"81","1239-NW_20230524_055100.wav","1239","NW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",46576.2331727177,"1"
"82","1239-SE_20230515_060500.wav","1239","SE","2023-05-15","06:05:00","06:00",3,"Drayton Valley",46576.2331727177,"3"
"83","1239-SE_20230521_055500.wav","1239","SE","2023-05-21","05:55:00","05:00",3,"Drayton Valley",46576.2331727177,"10+"
"84","1239-SE_20230524_055100.wav","1239","SE","2023-05-24","05:51:00","05:00",3,"Drayton Valley",46576.2331727177,"1"
"85","1239-SW_20230515_060500.wav","1239","SW","2023-05-15","06:05:00","06:00",3,"Drayton Valley",46576.2331727177,"3"
"86","1239-SW_20230521_055500.wav","1239","SW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",46576.2331727177,"10+"
"87","1239-SW_20230524_055100.wav","1239","SW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",46576.2331727177,"1"
"88","1249-NE_20230515_060500.wav","1249","NE","2023-05-15","06:05:00","06:00",3,"Red Deer",109768.228471747,"2"
"89","1249-NE_20230521_055500.wav","1249","NE","2023-05-21","05:55:00","05:00",3,"Red Deer",109768.228471747,"10+"
"90","1249-NE_20230524_055100.wav","1249","NE","2023-05-24","05:51:00","05:00",3,"Red Deer",109768.228471747,"2"
"91","1249-NW_20230515_060500.wav","1249","NW","2023-05-15","06:05:00","06:00",3,"Red Deer",109768.228471747,"2"
"92","1249-NW_20230521_055500.wav","1249","NW","2023-05-21","05:55:00","05:00",3,"Red Deer",109768.228471747,"10+"
"93","1249-NW_20230524_055100.wav","1249","NW","2023-05-24","05:51:00","05:00",3,"Red Deer",109768.228471747,"2"
"94","1249-SE_20230515_060500.wav","1249","SE","2023-05-15","06:05:00","06:00",3,"Red Deer",109768.228471747,"2"
"95","1249-SE_20230521_055500.wav","1249","SE","2023-05-21","05:55:00","05:00",3,"Red Deer",109768.228471747,"10+"
"96","1249-SE_20230524_055100.wav","1249","SE","2023-05-24","05:51:00","05:00",3,"Red Deer",109768.228471747,"2"
"97","1249-SW_20230515_060500.wav","1249","SW","2023-05-15","06:05:00","06:00",3,"Red Deer",109768.228471747,"2"
"98","1249-SW_20230521_055500.wav","1249","SW","2023-05-21","05:55:00","05:00",3,"Red Deer",109768.228471747,"10+"
"99","1249-SW_20230524_055100.wav","1249","SW","2023-05-24","05:51:00","05:00",3,"Red Deer",109768.228471747,"2"
"100","1266-NE_20230515_060500.wav","1266","NE","2023-05-15","06:05:00","06:00",3,"Drayton Valley",82424.0353520354,"3"
"101","1266-NE_20230521_055500.wav","1266","NE","2023-05-21","05:55:00","05:00",3,"Drayton Valley",82424.0353520354,"10+"
"102","1266-NE_20230524_055100.wav","1266","NE","2023-05-24","05:51:00","05:00",3,"Drayton Valley",82424.0353520354,"1"
"103","1266-NW_20230515_060500.wav","1266","NW","2023-05-15","06:05:00","06:00",3,"Drayton Valley",82424.0353520354,"3"
"104","1266-NW_20230521_055500.wav","1266","NW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",82424.0353520354,"10+"
"105","1266-NW_20230524_055100.wav","1266","NW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",82424.0353520354,"1"
"106","1266-SE_20230515_060500.wav","1266","SE","2023-05-15","06:05:00","06:00",3,"Drayton Valley",82424.0353520354,"3"
"107","1266-SE_20230521_055500.wav","1266","SE","2023-05-21","05:55:00","05:00",3,"Drayton Valley",82424.0353520354,"10+"
"108","1266-SE_20230524_055100.wav","1266","SE","2023-05-24","05:51:00","05:00",3,"Drayton Valley",82424.0353520354,"1"
"109","1266-SW_20230515_060500.wav","1266","SW","2023-05-15","06:05:00","06:00",3,"Drayton Valley",82424.0353520354,"3"
"110","1266-SW_20230521_055500.wav","1266","SW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",82424.0353520354,"10+"
"111","1266-SW_20230524_055100.wav","1266","SW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",82424.0353520354,"1"
"112","1267-NE_20230515_060500.wav","1267","NE","2023-05-15","06:05:00","06:00",3,"Drayton Valley",71221.5745804819,"3"
"113","1267-NE_20230521_055500.wav","1267","NE","2023-05-21","05:55:00","05:00",3,"Drayton Valley",71221.5745804819,"10+"
"114","1267-NE_20230524_055100.wav","1267","NE","2023-05-24","05:51:00","05:00",3,"Drayton Valley",71221.5745804819,"1"
"115","1267-NW_20230515_060500.wav","1267","NW","2023-05-15","06:05:00","06:00",3,"Drayton Valley",71221.5745804819,"3"
"116","1267-NW_20230521_055500.wav","1267","NW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",71221.5745804819,"10+"
"117","1267-NW_20230524_055100.wav","1267","NW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",71221.5745804819,"1"
"118","1267-SE_20230515_060500.wav","1267","SE","2023-05-15","06:05:00","06:00",3,"Drayton Valley",71221.5745804819,"3"
"119","1267-SE_20230521_055500.wav","1267","SE","2023-05-21","05:55:00","05:00",3,"Drayton Valley",71221.5745804819,"10+"
"120","1267-SE_20230524_055100.wav","1267","SE","2023-05-24","05:51:00","05:00",3,"Drayton Valley",71221.5745804819,"1"
"121","1267-SW_20230515_060500.wav","1267","SW","2023-05-15","06:05:00","06:00",3,"Drayton Valley",71221.5745804819,"3"
"122","1267-SW_20230521_055500.wav","1267","SW","2023-05-21","05:55:00","05:00",3,"Drayton Valley",71221.5745804819,"10+"
"123","1267-SW_20230524_055100.wav","1267","SW","2023-05-24","05:51:00","05:00",3,"Drayton Valley",71221.5745804819,"1"
"124","1268-NE_20230515_060500.wav","1268","NE","2023-05-15","06:05:00","06:00",3,"Caroline",63229.008203008,"2"
"125","1268-NE_20230521_055500.wav","1268","NE","2023-05-21","05:55:00","05:00",3,"Caroline",63229.008203008,"8"
"126","1268-NE_20230524_055100.wav","1268","NE","2023-05-24","05:51:00","05:00",3,"Caroline",63229.008203008,"1"
"127","1268-NW_20230515_060500.wav","1268","NW","2023-05-15","06:05:00","06:00",3,"Caroline",63229.008203008,"2"
"128","1268-NW_20230521_055500.wav","1268","NW","2023-05-21","05:55:00","05:00",3,"Caroline",63229.008203008,"8"
"129","1268-NW_20230524_055100.wav","1268","NW","2023-05-24","05:51:00","05:00",3,"Caroline",63229.008203008,"1"
"130","1268-SE_20230515_060500.wav","1268","SE","2023-05-15","06:05:00","06:00",3,"Caroline",63229.008203008,"2"
"131","1268-SE_20230521_055500.wav","1268","SE","2023-05-21","05:55:00","05:00",3,"Caroline",63229.008203008,"8"
"132","1268-SE_20230524_055100.wav","1268","SE","2023-05-24","05:51:00","05:00",3,"Caroline",63229.008203008,"1"
"133","1268-SW_20230515_060500.wav","1268","SW","2023-05-15","06:05:00","06:00",3,"Caroline",63229.008203008,"2"
"134","1268-SW_20230521_055500.wav","1268","SW","2023-05-21","05:55:00","05:00",3,"Caroline",63229.008203008,"8"
"135","1268-SW_20230524_055100.wav","1268","SW","2023-05-24","05:51:00","05:00",3,"Caroline",63229.008203008,"1"
"136","1294-NE_20230515_060500.wav","1294","NE","2023-05-15","06:05:00","06:00",3,"Caroline",84142.7141990782,"2"
"137","1294-NE_20230521_055500.wav","1294","NE","2023-05-21","05:55:00","05:00",3,"Caroline",84142.7141990782,"8"
"138","1294-NE_20230524_055100.wav","1294","NE","2023-05-24","05:51:00","05:00",3,"Caroline",84142.7141990782,"1"
"139","1294-NW_20230515_060500.wav","1294","NW","2023-05-15","06:05:00","06:00",3,"Caroline",84142.7141990782,"2"
"140","1294-NW_20230521_055500.wav","1294","NW","2023-05-21","05:55:00","05:00",3,"Caroline",84142.7141990782,"8"
"141","1294-NW_20230524_055100.wav","1294","NW","2023-05-24","05:51:00","05:00",3,"Caroline",84142.7141990782,"1"
"142","1294-SE_20230515_060500.wav","1294","SE","2023-05-15","06:05:00","06:00",3,"Caroline",84142.7141990782,"2"
"143","1294-SE_20230521_055500.wav","1294","SE","2023-05-21","05:55:00","05:00",3,"Caroline",84142.7141990782,"8"
"144","1294-SE_20230524_055100.wav","1294","SE","2023-05-24","05:51:00","05:00",3,"Caroline",84142.7141990782,"1"
"145","1294-SW_20230515_060500.wav","1294","SW","2023-05-15","06:05:00","06:00",3,"Caroline",84142.7141990782,"2"
"146","1294-SW_20230521_055500.wav","1294","SW","2023-05-21","05:55:00","05:00",3,"Caroline",84142.7141990782,"8"
"147","1294-SW_20230524_055100.wav","1294","SW","2023-05-24","05:51:00","05:00",3,"Caroline",84142.7141990782,"1"
"148","1295-NE_20230515_060500.wav","1295","NE","2023-05-15","06:05:00","06:00",3,"Caroline",64179.7396443759,"2"
"149","1295-NE_20230521_055500.wav","1295","NE","2023-05-21","05:55:00","05:00",3,"Caroline",64179.7396443759,"8"
"150","1295-NE_20230524_055100.wav","1295","NE","2023-05-24","05:51:00","05:00",3,"Caroline",64179.7396443759,"1"
"151","1295-NW_20230515_060500.wav","1295","NW","2023-05-15","06:05:00","06:00",3,"Caroline",64179.7396443759,"2"
"152","1295-NW_20230521_055500.wav","1295","NW","2023-05-21","05:55:00","05:00",3,"Caroline",64179.7396443759,"8"
"153","1295-NW_20230524_055100.wav","1295","NW","2023-05-24","05:51:00","05:00",3,"Caroline",64179.7396443759,"1"
"154","1295-SE_20230515_060500.wav","1295","SE","2023-05-15","06:05:00","06:00",3,"Caroline",64179.7396443759,"2"
"155","1295-SE_20230521_055500.wav","1295","SE","2023-05-21","05:55:00","05:00",3,"Caroline",64179.7396443759,"8"
"156","1295-SE_20230524_055100.wav","1295","SE","2023-05-24","05:51:00","05:00",3,"Caroline",64179.7396443759,"1"
"157","1295-SW_20230515_060500.wav","1295","SW","2023-05-15","06:05:00","06:00",3,"Caroline",64179.7396443759,"2"
"158","1295-SW_20230521_055500.wav","1295","SW","2023-05-21","05:55:00","05:00",3,"Caroline",64179.7396443759,"8"
"159","1295-SW_20230524_055100.wav","1295","SW","2023-05-24","05:51:00","05:00",3,"Caroline",64179.7396443759,"1"
"160","1296-NE_20230515_060500.wav","1296","NE","2023-05-15","06:05:00","06:00",3,"Caroline",50486.6869174176,"2"
"161","1296-NE_20230521_055500.wav","1296","NE","2023-05-21","05:55:00","05:00",3,"Caroline",50486.6869174176,"8"
"162","1296-NE_20230524_055100.wav","1296","NE","2023-05-24","05:51:00","05:00",3,"Caroline",50486.6869174176,"1"
"163","1296-NW_20230515_060500.wav","1296","NW","2023-05-15","06:05:00","06:00",3,"Caroline",50486.6869174176,"2"
"164","1296-NW_20230521_055500.wav","1296","NW","2023-05-21","05:55:00","05:00",3,"Caroline",50486.6869174176,"8"
"165","1296-NW_20230524_055100.wav","1296","NW","2023-05-24","05:51:00","05:00",3,"Caroline",50486.6869174176,"1"
