ABMI Site Number,ABMI Public Latitude,ABMI Public Longitude,File No. ABMI-00003; Version January 2008,,
402,57.659164,-116.800018,,,
403,57.633827,-116.425133,,,
404,57.590031,-116.119316,,,
405,57.566681,-115.822281,,,
406,57.584728,-115.434669,,,
407,57.508667,-115.175079,,,
408,57.492027,-114.845024,,,
409,57.459282,-114.490715,,,
410,57.461479,-114.180870,,,
411,57.401764,-113.767021,,,
412,57.381260,-113.492157,,,
413,57.323273,-113.110275,,,
414,57.294983,-112.846794,,,
415,57.246872,-112.510162,,,
416,57.262726,-112.114517,,,
417,57.194435,-111.831306,,,
418,57.196716,-111.562981,,,
419,57.150703,-111.222115,,,
420,57.128140,-110.874931,,,
421,57.056065,-110.574104,,,
422,56.990757,-110.242638,,,
423,57.674206,-119.835594,,,
424,57.626495,-119.425156,,,
425,57.588516,-119.170555,,,
426,57.593987,-118.768517,,,
427,57.572441,-118.473648,,,
428,57.568111,-118.121078,,,
429,57.544125,-117.802765,,,
430,57.538521,-117.416443,,,
431,57.486771,-117.174126,,,
432,57.484314,-116.867340,,,
433,57.472519,-116.418343,,,
434,57.452530,-116.183952,,,
435,57.372704,-115.823540,,,
436,57.399391,-115.440613,,,
437,57.338673,-115.147408,,,
438,57.335743,-114.848801,,,
439,57.308632,-114.545311,,,
440,57.252598,-114.223152,,,
441,57.216694,-113.841789,,,
442,57.201565,-113.577225,,,
443,57.134647,-113.191315,,,
444,57.164497,-112.873680,,,
445,57.102642,-112.584282,,,
446,57.059208,-112.259789,,,
447,57.008949,-111.884850,,,
448,57.004749,-111.505981,,,
449,56.976021,-111.280540,,,
450,56.909969,-110.963531,,,
451,56.852806,-110.575729,,,
452,56.856949,-110.307251,,,
453,57.439835,-119.800735,,,
454,57.462372,-119.531525,,,
455,57.425400,-119.134827,,,
456,57.406326,-118.814575,,,
457,57.423565,-118.488312,,,
458,57.361053,-118.200798,,,
459,57.360245,-117.821838,,,
460,57.363075,-117.476410,,,
461,57.293335,-117.186996,,,
462,57.322102,-116.882797,,,
463,57.295532,-116.484352,,,
464,57.233665,-116.160904,,,
465,57.242516,-115.912079,,,
466,57.207367,-115.556686,,,
467,57.188461,-115.144821,,,
468,57.124310,-114.855614,,,
469,57.097446,-114.573807,,,
470,57.085758,-114.188492,,,
471,57.040764,-113.952484,,,
472,56.993168,-113.571747,,,
473,57.025070,-113.249763,,,
474,56.952862,-112.872215,,,
475,56.959236,-112.631226,,,
476,56.894363,-112.319595,,,
477,56.868309,-111.964401,,,
478,56.848339,-111.667648,,,
479,56.755344,-111.322632,,,
480,56.739231,-110.993187,,,
481,56.698807,-110.673233,,,
482,56.648621,-110.333290,,,
483,56.651634,-110.024910,,,
484,57.296318,-119.876900,,,
485,57.261295,-119.448982,,,
486,57.277439,-119.192505,,,
487,57.217842,-118.853088,,,
488,57.207901,-118.489037,,,
489,57.232376,-118.162682,,,
490,57.188354,-117.854561,,,
491,57.176933,-117.569031,,,
492,57.163441,-117.215698,,,
493,57.087059,-116.834015,,,
494,57.119415,-116.553749,,,
495,57.101963,-116.211586,,,
496,57.065075,-115.927437,,,
497,57.023487,-115.629578,,,
498,57.003262,-115.287514,,,
499,56.986378,-114.944817,,,
500,56.904362,-114.559021,,,
501,56.885067,-114.255661,,,
502,56.868839,-113.958031,,,
503,56.834305,-113.634651,,,
504,56.801697,-113.275459,,,
505,56.769127,-112.996643,,,
506,56.732479,-112.732773,,,
507,56.703514,-112.361649,,,
508,56.682861,-112.014778,,,
509,56.633797,-111.700684,,,
510,56.602238,-111.343719,,,
511,56.553654,-111.028305,,,
512,56.563141,-110.742599,,,
513,56.497036,-110.381218,,,
514,56.463573,-110.065025,,,
515,57.120880,-119.900093,,,
516,57.067837,-119.496414,,,
517,57.110863,-119.264214,,,
518,57.065987,-118.922653,,,
519,57.044838,-118.539223,,,
520,57.044098,-118.253502,,,
521,56.978039,-117.877327,,,
522,56.984550,-117.547440,,,
523,56.979988,-117.263649,,,
524,56.917347,-116.898689,,,
525,56.929382,-116.615578,,,
526,56.911518,-116.249298,,,
527,56.841602,-115.998611,,,
528,56.864960,-115.657036,,,
529,56.837563,-115.344734,,,
530,56.777458,-115.052505,,,
531,56.744755,-114.707581,,,
532,56.760143,-114.332275,,,
533,56.668095,-114.006927,,,
534,56.689857,-113.690399,,,
535,56.636044,-113.334801,,,
536,56.627918,-113.014015,,,
537,56.588074,-112.776077,,,
538,56.549435,-112.452820,,,
539,56.506870,-112.160370,,,
540,56.454128,-111.739182,,,
541,56.389679,-111.437485,,,
542,56.405643,-111.113083,,,
543,56.367294,-110.807022,,,
544,56.315376,-110.536407,,,
545,56.264294,-110.207954,,,
546,56.933628,-119.881012,,,
547,56.933811,-119.624046,,,
548,56.924225,-119.280479,,,
549,56.862049,-118.939484,,,
550,56.879425,-118.585411,,,
551,56.874905,-118.306656,,,
552,56.813931,-117.896324,,,
553,56.826778,-117.636856,,,
554,56.804661,-117.347687,,,
